Date,Open,High,Low,Close,Volume
17-Jan-12,62.58,63.53,61.16,61.20,4351604
13-Jan-12,59.92,59.92,59.92,59.92,0
12-Jan-12,60.00,60.85,58.10,60.12,8358693
11-Jan-12,54.45,57.75,53.60,57.48,7529783
10-Jan-12,54.37,54.37,54.37,54.37,0
9-Jan-12,49.29,50.42,47.13,48.20,7434604
6-Jan-12,53.26,54.37,50.08,50.69,4485834
5-Jan-12,53.05,54.77,52.12,52.97,4263584
4-Jan-12,55.26,55.26,53.24,53.56,3570666
3-Jan-12,53.41,56.84,53.32,55.60,4800707
30-Dec-11,52.00,52.00,52.00,52.00,0
29-Dec-11,52.97,54.00,51.93,53.16,2362141
28-Dec-11,53.06,53.06,53.06,53.06,0
27-Dec-11,55.06,56.74,54.06,54.68,2677571
23-Dec-11,55.76,55.76,55.76,55.76,0
22-Dec-11,52.00,54.69,50.55,53.58,6713509
21-Dec-11,54.76,54.80,51.06,52.07,4033065
20-Dec-11,55.79,55.79,55.79,55.79,0
19-Dec-11,54.36,54.80,51.23,52.81,6166395
16-Dec-11,49.20,55.34,46.86,55.05,17379002
15-Dec-11,54.70,55.49,52.11,52.80,4741799
14-Dec-11,56.50,56.77,53.75,54.13,3775688
13-Dec-11,58.51,58.89,56.02,57.01,4976857
12-Dec-11,58.46,58.46,58.46,58.46,0
9-Dec-11,61.85,62.85,60.52,61.86,2972673
8-Dec-11,63.01,63.67,60.80,61.26,3897302
7-Dec-11,61.85,64.55,60.42,63.92,3983257
6-Dec-11,65.22,66.75,62.60,62.72,4135413
5-Dec-11,69.00,69.95,65.30,66.35,3918952
2-Dec-11,69.20,69.57,67.76,68.52,4704385
1-Dec-11,63.91,67.19,63.55,66.41,4273493
30-Nov-11,66.12,67.54,62.84,66.08,6781127
29-Nov-11,59.78,63.50,58.35,62.67,8176698
28-Nov-11,65.51,66.61,56.05,59.73,18046677
25-Nov-11,63.05,64.95,62.62,63.15,1585048
23-Nov-11,63.51,63.51,63.51,63.51,0
22-Nov-11,65.63,67.41,63.64,65.83,4257958
21-Nov-11,72.38,72.38,63.31,65.70,9332202
18-Nov-11,75.75,75.75,73.25,74.12,2565790
17-Nov-11,78.29,78.45,72.28,74.91,4102830
16-Nov-11,77.72,80.00,77.40,77.96,2841639
15-Nov-11,78.25,78.90,76.70,78.35,2872009
14-Nov-11,78.77,80.50,77.77,78.89,2014490
11-Nov-11,77.30,79.67,75.62,79.16,2988115
10-Nov-11,78.62,78.62,75.14,76.08,5013853
9-Nov-11,82.74,83.00,77.08,77.50,7548441
8-Nov-11,86.87,87.00,83.10,86.94,5289450
7-Nov-11,83.50,86.39,82.11,85.02,4799199
4-Nov-11,81.77,83.95,79.12,83.10,3570640
3-Nov-11,81.51,82.94,78.50,82.26,3609526
2-Nov-11,80.00,80.75,78.31,80.00,3466266
1-Nov-11,78.45,79.50,76.70,77.69,5490896
31-Oct-11,85.76,86.00,81.03,81.29,4794255
28-Oct-11,88.99,91.11,86.50,88.40,4861281
27-Oct-11,88.70,91.00,86.00,87.39,5345111
26-Oct-11,90.25,92.14,79.60,84.68,8380294
25-Oct-11,91.51,92.37,87.41,88.73,4371382
24-Oct-11,86.03,92.95,85.89,92.37,6132299
21-Oct-11,85.17,85.21,82.22,84.46,3806732
20-Oct-11,82.81,84.20,81.00,83.34,3765556
19-Oct-11,83.82,91.48,82.55,83.26,7049457
18-Oct-11,87.41,87.80,81.03,86.01,6651779
17-Oct-11,90.00,93.39,87.64,88.42,4368774
14-Oct-11,95.00,96.00,89.52,93.08,6026700
13-Oct-11,81.01,93.32,80.96,92.88,16539264
12-Oct-11,81.26,84.55,77.29,78.48,8163515
11-Oct-11,75.53,82.48,75.15,81.78,5745205
10-Oct-11,74.68,78.69,73.00,77.13,6394819
7-Oct-11,78.69,79.28,71.50,73.81,8209123
6-Oct-11,78.00,80.00,75.67,78.78,5421579
5-Oct-11,71.66,76.95,68.51,76.57,7929420
4-Oct-11,67.90,72.67,64.81,72.67,8935792
3-Oct-11,71.61,74.00,67.27,67.90,5747729
30-Sep-11,70.00,77.86,68.00,71.61,11729602
29-Sep-11,84.00,84.35,68.00,73.23,17138387
28-Sep-11,85.72,86.38,80.40,81.10,8193595
27-Sep-11,85.87,89.97,85.72,87.13,6682014
26-Sep-11,88.30,88.64,76.48,82.34,10347503
23-Sep-11,82.13,87.65,82.05,86.91,5600772
22-Sep-11,85.84,87.88,80.52,81.82,10003669
21-Sep-11,96.23,98.10,90.01,90.02,10913124
20-Sep-11,110.92,111.21,90.80,92.76,14605994
19-Sep-11,108.13,110.89,105.51,109.35,4100029
16-Sep-11,110.15,111.00,107.98,110.33,2832048
15-Sep-11,113.13,113.72,108.55,110.15,3788176
14-Sep-11,114.55,114.89,111.11,112.41,5175970
13-Sep-11,107.29,114.24,107.10,113.98,6438440
12-Sep-11,102.33,107.40,101.76,106.73,4295618
9-Sep-11,107.50,110.40,102.22,104.67,5195749
8-Sep-11,107.42,111.97,107.39,108.74,5231948
7-Sep-11,104.50,109.29,104.11,109.20,4925192
6-Sep-11,96.57,102.56,96.50,102.19,3659123
2-Sep-11,101.97,102.50,99.51,101.21,3419991
1-Sep-11,107.42,109.43,104.00,104.44,3738501
31-Aug-11,108.87,108.98,106.00,107.41,6508634
30-Aug-11,96.89,106.55,96.00,105.34,7856395
29-Aug-11,100.01,100.98,96.55,98.00,4308089
26-Aug-11,92.44,98.07,89.25,97.93,5748151
25-Aug-11,94.00,95.99,92.44,93.23,4456150
24-Aug-11,95.58,96.71,88.64,92.37,7721954
23-Aug-11,92.58,96.89,92.01,96.74,6827082
